timestamp,hour,minute,day_of_week,is_weekend,north_count,south_count,east_count,west_count,total_vehicles,ns_total,ew_total,ns_ratio,ew_ratio,hour_sin,hour_cos,total_rolling_mean,total_rolling_std,density_label,optimal_ns_green,optimal_ew_green,traffic_pattern
2024-01-01 00:00:00,0,0,0,0,3,6,0,6,15,9,6,0.5625,0.375,0.0,1.0,15.0,0.0,Low,40.3125,31.875,0
2024-01-01 00:02:00,0,2,0,0,18,13,9,22,62,31,31,0.492063492063492,0.492063492063492,0.0,1.0,38.5,33.23401871576773,Medium,37.14285714285714,37.14285714285714,2
2024-01-01 00:04:00,0,4,0,0,13,10,14,3,40,23,17,0.5609756097560976,0.4146341463414634,0.0,1.0,39.0,23.515952032609693,Low,40.2439024390244,33.65853658536585,0
2024-01-01 00:06:00,0,6,0,0,17,31,28,26,102,48,54,0.4660194174757281,0.5242718446601942,0.0,1.0,54.75,36.89060404312549,Medium,35.970873786407765,38.592233009708735,2
2024-01-01 00:08:00,0,8,0,0,12,15,7,7,41,27,14,0.6428571428571429,0.3333333333333333,0.0,1.0,52.0,32.53459696999488,Low,43.92857142857143,30.0,0
2024-01-01 00:10:00,0,10,0,0,16,8,10,21,55,24,31,0.4285714285714285,0.5535714285714286,0.0,1.0,52.5,29.12559012277691,Low,34.285714285714285,39.91071428571429,2
2024-01-01 00:12:00,0,12,0,0,8,5,19,18,50,13,37,0.2549019607843137,0.7254901960784313,0.0,1.0,58.333333333333336,22.9666424770071,Low,26.47058823529412,47.64705882352941,2
2024-01-01 00:14:00,0,14,0,0,37,28,24,25,114,65,49,0.5652173913043478,0.4260869565217391,0.0,1.0,67.0,32.47152598816385,Medium,40.43478260869565,34.173913043478265,0
2024-01-01 00:16:00,0,16,0,0,0,2,2,0,4,2,2,0.4,0.4,0.0,1.0,61.0,40.7332787779231,Low,33.0,33.0,2
2024-01-01 00:18:00,0,18,0,0,11,18,10,11,50,29,21,0.5686274509803921,0.4117647058823529,0.0,1.0,52.333333333333336,35.45513597021829,Low,40.588235294117645,33.529411764705884,0
2024-01-01 00:20:00,0,20,0,0,4,12,3,0,19,16,3,0.8,0.15,0.0,1.0,48.66666666666666,37.91393763072713,Low,51.0,21.75,0
2024-01-01 00:22:00,0,22,0,0,9,7,11,12,39,16,23,0.4,0.575,0.0,1.0,46.0,37.94206109319841,Low,33.0,40.875,2
2024-01-01 00:24:00,0,24,0,0,12,10,9,2,33,22,11,0.6470588235294118,0.3235294117647059,0.0,1.0,43.16666666666666,38.21736080195318,Low,44.117647058823536,29.558823529411768,0
2024-01-01 00:26:00,0,26,0,0,26,15,13,12,66,41,25,0.6119402985074627,0.373134328358209,0.0,1.0,35.166666666666664,22.012875020466257,Medium,42.537313432835816,31.791044776119403,0
2024-01-01 00:28:00,0,28,0,0,2,4,6,2,14,6,8,0.4,0.5333333333333333,0.0,1.0,36.833333333333336,19.4053257294658,Low,33.0,39.0,2
2024-01-01 00:30:00,0,30,0,0,27,25,23,24,99,52,47,0.52,0.47,0.0,1.0,45.0,32.16830738475372,Medium,38.400000000000006,36.15,0
2024-01-01 00:32:00,0,32,0,0,0,4,5,8,17,4,13,0.2222222222222222,0.7222222222222222,0.0,1.0,44.66666666666666,32.500256409244955,Low,25.0,47.5,2
2024-01-01 00:34:00,0,34,0,0,26,21,28,34,109,47,62,0.4272727272727272,0.5636363636363636,0.0,1.0,56.333333333333336,41.40370353804919,Medium,34.22727272727273,40.36363636363636,2
2024-01-01 00:36:00,0,36,0,0,15,10,26,18,69,25,44,0.3571428571428571,0.6285714285714286,0.0,1.0,62.333333333333336,39.9282690166587,Medium,31.071428571428573,43.285714285714285,2
2024-01-01 00:38:00,0,38,0,0,15,2,14,6,37,17,20,0.4473684210526316,0.5263157894736842,0.0,1.0,57.5,41.13271204284979,Low,35.131578947368425,38.68421052631579,2
2024-01-01 00:40:00,0,40,0,0,16,14,6,18,54,30,24,0.5454545454545454,0.4363636363636363,0.0,1.0,64.16666666666667,35.53261412655516,Low,39.54545454545455,34.63636363636364,0
2024-01-01 00:42:00,0,42,0,0,19,19,16,14,68,38,30,0.5507246376811594,0.4347826086956521,0.0,1.0,59.0,31.47697571241558,Medium,39.78260869565217,34.565217391304344,0
2024-01-01 00:44:00,0,44,0,0,18,12,9,19,58,30,28,0.5084745762711864,0.4745762711864407,0.0,1.0,65.83333333333333,24.12813019416687,Low,37.88135593220339,36.35593220338983,0
2024-01-01 00:46:00,0,46,0,0,7,13,3,7,30,20,10,0.6451612903225806,0.3225806451612903,0.0,1.0,52.66666666666666,16.070677231114665,Low,44.03225806451613,29.516129032258064,0
2024-01-01 00:48:00,0,48,0,0,18,29,15,27,89,47,42,0.5222222222222223,0.4666666666666667,0.0,1.0,56.0,21.34478859112923,Medium,38.5,36.0,0
2024-01-01 00:50:00,0,50,0,0,12,18,8,8,46,30,16,0.6382978723404256,0.3404255319148936,0.0,1.0,57.5,20.017492350441916,Low,43.72340425531915,30.31914893617021,0
2024-01-01 00:52:00,0,52,0,0,5,10,18,5,38,15,23,0.3846153846153846,0.5897435897435898,0.0,1.0,54.833333333333336,21.58162798925668,Low,32.30769230769231,41.53846153846154,2
2024-01-01 00:54:00,0,54,0,0,8,15,6,17,46,23,23,0.4893617021276595,0.4893617021276595,0.0,1.0,51.16666666666666,20.75010040136354,Low,37.02127659574468,37.02127659574468,2
2024-01-01 00:56:00,0,56,0,0,14,14,25,18,71,28,43,0.3888888888888889,0.5972222222222222,0.0,1.0,53.333333333333336,22.232108911811927,Medium,32.5,41.875,2
2024-01-01 00:58:00,0,58,0,0,13,14,8,22,57,27,30,0.4655172413793103,0.5172413793103449,0.0,1.0,57.833333333333336,19.072668053176702,Low,35.94827586206897,38.27586206896552,2
2024-01-01 01:00:00,1,0,0,0,11,10,16,16,53,21,32,0.3888888888888889,0.5925925925925926,0.2588190451025207,0.9659258262890684,51.833333333333336,11.444066876188172,Low,32.5,41.66666666666666,2
2024-01-01 01:02:00,1,2,0,0,9,10,8,22,49,19,30,0.38,0.6,0.2588190451025207,0.9659258262890684,52.333333333333336,11.201190412927874,Low,32.1,42.0,2
2024-01-01 01:04:00,1,4,0,0,7,12,6,8,33,19,14,0.5588235294117647,0.4117647058823529,0.2588190451025207,0.9659258262890684,51.5,12.581732790041308,Low,40.14705882352941,33.529411764705884,0
2024-01-01 01:06:00,1,6,0,0,13,28,28,26,95,41,54,0.4270833333333333,0.5625,0.2588190451025207,0.9659258262890684,59.66666666666666,21.22891110412089,Medium,34.21875,40.3125,2
2024-01-01 01:08:00,1,8,0,0,9,16,13,10,48,25,23,0.5102040816326531,0.4693877551020408,0.2588190451025207,0.9659258262890684,55.833333333333336,20.846262654650285,Low,37.95918367346939,36.12244897959184,0
2024-01-01 01:10:00,1,10,0,0,17,17,22,11,67,34,33,0.5,0.4852941176470588,0.2588190451025207,0.9659258262890684,57.5,21.35181491114984,Medium,37.5,36.83823529411765,2
2024-01-01 01:12:00,1,12,0,0,0,0,0,2,2,0,2,0.0,0.6666666666666666,0.2588190451025207,0.9659258262890684,49.0,31.32411211830274,Low,15.0,45.0,2
