timestamp,hour,minute,day_of_week,is_weekend,north_count,south_count,east_count,west_count,total_vehicles,ns_total,ew_total
2024-01-01 00:00:00,0,0,0,0,7,5,11,18,41,12,29
2024-01-01 00:02:00,0,2,0,0,23,15,11,22,71,38,33
2024-01-01 00:04:00,0,4,0,0,11,8,11,8,38,19,19
2024-01-01 00:06:00,0,6,0,0,20,27,22,12,81,47,34
2024-01-01 00:08:00,0,8,0,0,0,2,0,4,6,2,4
2024-01-01 00:10:00,0,10,0,0,16,14,16,10,56,30,26
2024-01-01 00:12:00,0,12,0,0,16,3,10,9,38,19,19
2024-01-01 00:14:00,0,14,0,0,26,21,29,15,91,47,44
2024-01-01 00:16:00,0,16,0,0,0,0,10,3,13,0,13
2024-01-01 00:18:00,0,18,0,0,0,3,3,6,12,3,9
2024-01-01 00:20:00,0,20,0,0,10,0,9,0,19,10,9
2024-01-01 00:22:00,0,22,0,0,10,17,24,14,65,27,38
2024-01-01 00:24:00,0,24,0,0,8,7,9,9,33,15,18
2024-01-01 00:26:00,0,26,0,0,15,11,18,17,61,26,35
2024-01-01 00:28:00,0,28,0,0,24,24,19,20,87,48,39
2024-01-01 00:30:00,0,30,0,0,0,0,14,11,25,0,25
2024-01-01 00:32:00,0,32,0,0,22,25,22,26,95,47,48
2024-01-01 00:34:00,0,34,0,0,3,16,8,19,46,19,27
2024-01-01 00:36:00,0,36,0,0,12,0,5,16,33,12,21
2024-01-01 00:38:00,0,38,0,0,12,18,10,17,57,30,27
2024-01-01 00:40:00,0,40,0,0,5,6,14,16,41,11,30
2024-01-01 00:42:00,0,42,0,0,15,22,16,15,68,37,31
2024-01-01 00:44:00,0,44,0,0,6,14,0,13,33,20,13
2024-01-01 00:46:00,0,46,0,0,9,23,17,9,58,32,26
2024-01-01 00:48:00,0,48,0,0,22,19,32,17,90,41,49
2024-01-01 00:50:00,0,50,0,0,11,10,10,15,46,21,25
2024-01-01 00:52:00,0,52,0,0,18,8,24,21,71,26,45
2024-01-01 00:54:00,0,54,0,0,33,28,34,25,120,61,59
2024-01-01 00:56:00,0,56,0,0,0,4,14,0,18,4,14
2024-01-01 00:58:00,0,58,0,0,13,17,10,24,64,30,34
2024-01-01 01:00:00,1,0,0,0,21,14,23,18,76,35,41
2024-01-01 01:02:00,1,2,0,0,19,13,14,24,70,32,38
2024-01-01 01:04:00,1,4,0,0,8,21,23,21,73,29,44
2024-01-01 01:06:00,1,6,0,0,19,18,7,17,61,37,24
2024-01-01 01:08:00,1,8,0,0,18,18,4,3,43,36,7
2024-01-01 01:10:00,1,10,0,0,20,14,29,21,84,34,50
2024-01-01 01:12:00,1,12,0,0,17,17,12,12,58,34,24
2024-01-01 01:14:00,1,14,0,0,21,6,12,6,45,27,18
2024-01-01 01:16:00,1,16,0,0,14,13,12,22,61,27,34
2024-01-01 01:18:00,1,18,0,0,12,12,12,12,48,24,24
2024-01-01 01:20:00,1,20,0,0,20,24,15,13,72,44,28
2024-01-01 01:22:00,1,22,0,0,29,26,19,16,90,55,35
2024-01-01 01:24:00,1,24,0,0,7,2,17,6,32,9,23
2024-01-01 01:26:00,1,26,0,0,10,0,8,6,24,10,14
2024-01-01 01:28:00,1,28,0,0,20,22,14,16,72,42,30
2024-01-01 01:30:00,1,30,0,0,5,10,14,13,42,15,27
2024-01-01 01:32:00,1,32,0,0,22,17,17,29,85,39,46
2024-01-01 01:34:00,1,34,0,0,18,13,14,11,56,31,25
2024-01-01 01:36:00,1,36,0,0,19,12,10,19,60,31,29
2024-01-01 01:38:00,1,38,0,0,4,11,10,16,41,15,26
2024-01-01 01:40:00,1,40,0,0,3,18,6,15,42,21,21
2024-01-01 01:42:00,1,42,0,0,17,10,12,19,58,27,31
2024-01-01 01:44:00,1,44,0,0,21,22,16,23,82,43,39
2024-01-01 01:46:00,1,46,0,0,21,16,21,19,77,37,40
2024-01-01 01:48:00,1,48,0,0,11,11,14,7,43,22,21
2024-01-01 01:50:00,1,50,0,0,30,15,17,31,93,45,48
2024-01-01 01:52:00,1,52,0,0,12,11,18,10,51,23,28
2024-01-01 01:54:00,1,54,0,0,14,11,17,9,51,25,26
2024-01-01 01:56:00,1,56,0,0,15,9,18,18,60,24,36
2024-01-01 01:58:00,1,58,0,0,7,2,7,7,23,9,14
2024-01-01 02:00:00,2,0,0,0,17,6,12,5,40,23,17
2024-01-01 02:02:00,2,2,0,0,14,12,11,16,53,26,27
2024-01-01 02:04:00,2,4,0,0,27,23,27,27,104,50,54
2024-01-01 02:06:00,2,6,0,0,11,21,9,16,57,32,25
2024-01-01 02:08:00,2,8,0,0,23,24,27,28,102,47,55
2024-01-01 02:10:00,2,10,0,0,2,0,0,0,2,2,0
2024-01-01 02:12:00,2,12,0,0,12,11,7,19,49,23,26
2024-01-01 02:14:00,2,14,0,0,17,20,27,13,77,37,40
2024-01-01 02:16:00,2,16,0,0,23,18,22,22,85,41,44
2024-01-01 02:18:00,2,18,0,0,0,7,2,11,20,7,13
2024-01-01 02:20:00,2,20,0,0,12,4,1,9,26,16,10
2024-01-01 02:22:00,2,22,0,0,11,13,14,12,50,24,26
2024-01-01 02:24:00,2,24,0,0,13,8,2,13,36,21,15
2024-01-01 02:26:00,2,26,0,0,0,8,0,0,8,8,0
2024-01-01 02:28:00,2,28,0,0,29,19,29,26,103,48,55
2024-01-01 02:30:00,2,30,0,0,7,2,15,9,33,9,24
2024-01-01 02:32:00,2,32,0,0,3,10,11,10,34,13,21
2024-01-01 02:34:00,2,34,0,0,2,4,0,14,20,6,14
2024-01-01 02:36:00,2,36,0,0,20,23,13,17,73,43,30
2024-01-01 02:38:00,2,38,0,0,6,20,14,10,50,26,24
2024-01-01 02:40:00,2,40,0,0,14,16,17,20,67,30,37
2024-01-01 02:42:00,2,42,0,0,15,8,14,13,50,23,27
2024-01-01 02:44:00,2,44,0,0,25,27,22,24,98,52,46
2024-01-01 02:46:00,2,46,0,0,0,3,3,0,6,3,3
2024-01-01 02:48:00,2,48,0,0,2,13,3,7,25,15,10
2024-01-01 02:50:00,2,50,0,0,35,32,32,29,128,67,61
2024-01-01 02:52:00,2,52,0,0,19,6,5,18,48,25,23
2024-01-01 02:54:00,2,54,0,0,17,11,26,22,76,28,48
2024-01-01 02:56:00,2,56,0,0,17,26,15,20,78,43,35
2024-01-01 02:58:00,2,58,0,0,7,16,11,18,52,23,29
2024-01-01 03:00:00,3,0,0,0,13,14,7,6,40,27,13
2024-01-01 03:02:00,3,2,0,0,16,15,22,17,70,31,39
2024-01-01 03:04:00,3,4,0,0,9,8,16,8,41,17,24
2024-01-01 03:06:00,3,6,0,0,1,10,9,11,31,11,20
2024-01-01 03:08:00,3,8,0,0,10,23,16,7,56,33,23
2024-01-01 03:10:00,3,10,0,0,17,5,17,2,41,22,19
2024-01-01 03:12:00,3,12,0,0,0,6,8,13,27,6,21
2024-01-01 03:14:00,3,14,0,0,15,18,18,26,77,33,44
2024-01-01 03:16:00,3,16,0,0,11,3,0,12,26,14,12
